Region,Super_region,iso3,LocID,SDI,World_bank_2015,countryname_WB,countryname_WHO,countryname_GBD,HLI_group,NCD_region,location_name
Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",LTU,440,High SDI,HIC,Lithuania,Lithuania,Lithuania,High-income,Central and Eastern Europe,Lithuania
Western Europe,High-income,LUX,442,High SDI,HIC,Luxembourg,Luxembourg,Luxembourg,High-income,High-income Western countries,Luxembourg
Central Europe,"Central Europe, Eastern Europe, and Central Asia",MKD,807,High-middle SDI,LMIC,North Macedonia,North Macedonia,North Macedonia,Eurasia and the Mediterranean,Central and Eastern Europe,Macedonia
Eastern Sub-Saharan Africa,Sub-Saharan Africa,MDG,450,Low SDI,LIC,Madagascar,Madagascar,Madagascar,Sub-Saharan Africa,Sub-Saharan Africa,Madagascar
Eastern Sub-Saharan Africa,Sub-Saharan Africa,MWI,454,Low SDI,LIC,Malawi,Malawi,Malawi,Sub-Saharan Africa,Sub-Saharan Africa,Malawi
Southeast Asia,"Southeast Asia, East Asia, and Oceania",MYS,458,High-middle SDI,UMIC,Malaysia,Malaysia,Malaysia,Eurasia and the Mediterranean,East and South East Asia,Malaysia
Southeast Asia,"Southeast Asia, East Asia, and Oceania",MDV,462,Middle SDI,UMIC,Maldives,Maldives,Maldives,NA,East and South East Asia,Maldives
Western Sub-Saharan Africa,Sub-Saharan Africa,MLI,466,Low SDI,LIC,Mali,Mali,Mali,Sub-Saharan Africa,Sub-Saharan Africa,Mali
Western Europe,High-income,MLT,470,High SDI,HIC,Malta,Malta,Malta,NA,High-income Western countries,Malta
Oceania,"Southeast Asia, East Asia, and Oceania",MHL,584,Low-middle SDI,UMIC,Marshall Islands,NA,Marshall Islands,NA,NA,Marshall Islands
Western Sub-Saharan Africa,Sub-Saharan Africa,MRT,478,Low-middle SDI,LMIC,Mauritania,Mauritania,Mauritania,Sub-Saharan Africa,Sub-Saharan Africa,Mauritania
Eastern Sub-Saharan Africa,Sub-Saharan Africa,MUS,480,High-middle SDI,UMIC,Mauritius,Mauritius,Mauritius,Sub-Saharan Africa,Sub-Saharan Africa,Mauritius
Central Latin America,Latin America and Caribbean,MEX,484,Middle SDI,UMIC,Mexico,Mexico,Mexico,Latin America and the Caribbean,Latin America and Caribbean,Mexico
Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",MDA,498,Middle SDI,HIC,Moldova,Republic of Moldova,Republic of Moldova,Eurasia and the Mediterranean,Central and Eastern Europe,Moldova
Central Asia,"Central Europe, Eastern Europe, and Central Asia",MNG,496,Middle SDI,LMIC,Mongolia,Mongolia,Mongolia,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Mongolia
Central Europe,"Central Europe, Eastern Europe, and Central Asia",MNE,499,High-middle SDI,UMIC,Montenegro,Montenegro,Montenegro,Eurasia and the Mediterranean,Central and Eastern Europe,Montenegro
North Africa and Middle East,North Africa and Middle East,MAR,504,Low-middle SDI,LMIC,Morocco,Morocco,Morocco,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Morocco
Eastern Sub-Saharan Africa,Sub-Saharan Africa,MOZ,508,Low SDI,LIC,Mozambique,Mozambique,Mozambique,Sub-Saharan Africa,Sub-Saharan Africa,Mozambique
Southeast Asia,"Southeast Asia, East Asia, and Oceania",MMR,104,Low-middle SDI,LMIC,Myanmar,Myanmar,Myanmar,Eurasia and the Mediterranean,East and South East Asia,Myanmar
Southern Sub-Saharan Africa,Sub-Saharan Africa,NAM,516,Low-middle SDI,UMIC,Namibia,Namibia,Namibia,Sub-Saharan Africa,Sub-Saharan Africa,Namibia
South Asia,South Asia,NPL,524,Low-middle SDI,LIC,Nepal,Nepal,Nepal,Eurasia and the Mediterranean,South Asia,Nepal
Western Europe,High-income,NLD,528,High SDI,HIC,Netherlands,Netherlands,Netherlands,High-income,High-income Western countries,Netherlands
Australasia,High-income,NZL,554,High SDI,HIC,New Zealand,New Zealand,New Zealand,High-income,High-income Western countries,New Zealand
Central Latin America,Latin America and Caribbean,NIC,558,Low-middle SDI,LMIC,Nicaragua,Nicaragua,Nicaragua,Latin America and the Caribbean,Latin America and Caribbean,Nicaragua
Western Sub-Saharan Africa,Sub-Saharan Africa,NER,562,Low SDI,LIC,Niger,Niger,Niger,Sub-Saharan Africa,Sub-Saharan Africa,Niger
Western Sub-Saharan Africa,Sub-Saharan Africa,NGA,566,Low-middle SDI,LMIC,Nigeria,Nigeria,Nigeria,Sub-Saharan Africa,Sub-Saharan Africa,Nigeria
East Asia,"Southeast Asia, East Asia, and Oceania",PRK,408,Low-middle SDI,LIC,"Korea, Dem. People’s Rep.",Dem. People's Republic of Korea,Democratic People's Republic of Korea,Eurasia and the Mediterranean,East and South East Asia,North Korea
Oceania,"Southeast Asia, East Asia, and Oceania",MNP,580,High-middle SDI,HIC,Northern Mariana Islands,NA,Northern Mariana Islands,NA,NA,Northern Mariana Islands
Western Europe,High-income,NOR,578,High SDI,HIC,Norway,Norway,Norway,High-income,High-income Western countries,Norway
North Africa and Middle East,North Africa and Middle East,OMN,512,Middle SDI,HIC,Oman,Oman,Oman,High-income,"Central Asia, Middle East and North Africa",Oman
South Asia,South Asia,PAK,586,Low-middle SDI,LMIC,Pakistan,Pakistan,Pakistan,Eurasia and the Mediterranean,South Asia,Pakistan
North Africa and Middle East,North Africa and Middle East,PSE,275,Low SDI,LMIC,West Bank and Gaza,State of Palestine,Palestine,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Palestine
Central Latin America,Latin America and Caribbean,PAN,591,High-middle SDI,UMIC,Panama,Panama,Panama,Latin America and the Caribbean,Latin America and Caribbean,Panama
Oceania,"Southeast Asia, East Asia, and Oceania",PNG,598,Low SDI,LMIC,Papua New Guinea,Papua New Guinea,Papua New Guinea,Eurasia and the Mediterranean,Oceania,Papua New Guinea
Tropical Latin America,Latin America and Caribbean,PRY,600,Middle SDI,UMIC,Paraguay,Paraguay,Paraguay,Latin America and the Caribbean,Latin America and Caribbean,Paraguay
Andean Latin America,Latin America and Caribbean,PER,604,Middle SDI,UMIC,Peru,Peru,Peru,Latin America and the Caribbean,Latin America and Caribbean,Peru
Southeast Asia,"Southeast Asia, East Asia, and Oceania",PHL,608,Middle SDI,LMIC,Philippines,Philippines,Philippines,Eurasia and the Mediterranean,East and South East Asia,Philippines
Central Europe,"Central Europe, Eastern Europe, and Central Asia",POL,616,High SDI,HIC,Poland,Poland,Poland,High-income,Central and Eastern Europe,Poland
Western Europe,High-income,PRT,620,High-middle SDI,HIC,Portugal,Portugal,Portugal,High-income,High-income Western countries,Portugal
Caribbean,Latin America and Caribbean,PRI,630,High SDI,HIC,Puerto Rico,Puerto Rico,Puerto Rico,High-income,Latin America and Caribbean,Puerto Rico
North Africa and Middle East,North Africa and Middle East,QAT,634,High-middle SDI,HIC,Qatar,Qatar,Qatar,High-income,"Central Asia, Middle East and North Africa",Qatar
Central Europe,"Central Europe, Eastern Europe, and Central Asia",ROU,642,High-middle SDI,UMIC,Romania,Romania,Romania,Eurasia and the Mediterranean,Central and Eastern Europe,Romania
Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",RUS,643,High-middle SDI,UMIC,Russian Federation,Russian Federation,Russian Federation,Eurasia and the Mediterranean,Central and Eastern Europe,Russian Federation
Eastern Sub-Saharan Africa,Sub-Saharan Africa,RWA,646,Low SDI,LIC,Rwanda,Rwanda,Rwanda,Sub-Saharan Africa,Sub-Saharan Africa,Rwanda
Caribbean,Latin America and Caribbean,LCA,662,Middle SDI,UMIC,St. Lucia,Saint Lucia,Saint Lucia,NA,NA,Saint Lucia
Caribbean,Latin America and Caribbean,VCT,670,Middle SDI,UMIC,St. Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,NA,NA,Saint Vincent and the Grenadines
Oceania,"Southeast Asia, East Asia, and Oceania",WSM,882,Low-middle SDI,LMIC,Samoa,Samoa,Samoa,NA,NA,Samoa
Western Sub-Saharan Africa,Sub-Saharan Africa,STP,678,Low SDI,LMIC,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,NA,NA,Sao Tome and Principe
North Africa and Middle East,North Africa and Middle East,SAU,682,High-middle SDI,HIC,Saudi Arabia,Saudi Arabia,Saudi Arabia,High-income,"Central Asia, Middle East and North Africa",Saudi Arabia
Western Sub-Saharan Africa,Sub-Saharan Africa,SEN,686,Low SDI,LIC,Senegal,Senegal,Senegal,Sub-Saharan Africa,Sub-Saharan Africa,Senegal
Central Europe,"Central Europe, Eastern Europe, and Central Asia",SRB,688,High-middle SDI,UMIC,Serbia,Serbia,Serbia,Eurasia and the Mediterranean,Central and Eastern Europe,Serbia
Eastern Sub-Saharan Africa,Sub-Saharan Africa,SYC,690,Middle SDI,HIC,Seychelles,Seychelles,Seychelles,NA,NA,Seychelles
Western Sub-Saharan Africa,Sub-Saharan Africa,SLE,694,Low SDI,LIC,Sierra Leone,Sierra Leone,Sierra Leone,Sub-Saharan Africa,Sub-Saharan Africa,Sierra Leone
High-income Asia Pacific,High-income,SGP,702,High SDI,HIC,Singapore,Singapore,Singapore,High-income,High-income Asia Pacific,Singapore
Central Europe,"Central Europe, Eastern Europe, and Central Asia",SVK,703,High SDI,HIC,Slovak Republic,Slovakia,Slovakia,High-income,Central and Eastern Europe,Slovakia
Central Europe,"Central Europe, Eastern Europe, and Central Asia",SVN,705,High SDI,HIC,Slovenia,Slovenia,Slovenia,High-income,Central and Eastern Europe,Slovenia
Oceania,"Southeast Asia, East Asia, and Oceania",SLB,90,Low SDI,LMIC,Solomon Islands,Solomon Islands,Solomon Islands,Eurasia and the Mediterranean,Oceania,Solomon Islands
Eastern Sub-Saharan Africa,Sub-Saharan Africa,SOM,706,Low SDI,LIC,Somalia,Somalia,Somalia,Sub-Saharan Africa,Sub-Saharan Africa,Somalia
Southern Sub-Saharan Africa,Sub-Saharan Africa,ZAF,710,Middle SDI,UMIC,South Africa,South Africa,South Africa,Sub-Saharan Africa,Sub-Saharan Africa,South Africa
High-income Asia Pacific,High-income,KOR,410,High SDI,HIC,"Korea, Rep.",Republic of Korea,Republic of Korea,High-income,High-income Asia Pacific,South Korea
Eastern Sub-Saharan Africa,Sub-Saharan Africa,SSD,728,Low SDI,LIC,South Sudan,South Sudan,South Sudan,Sub-Saharan Africa,Sub-Saharan Africa,South Sudan
Western Europe,High-income,ESP,724,High-middle SDI,HIC,Spain,Spain,Spain,High-income,High-income Western countries,Spain
Southeast Asia,"Southeast Asia, East Asia, and Oceania",LKA,144,Middle SDI,LMIC,Sri Lanka,Sri Lanka,Sri Lanka,Eurasia and the Mediterranean,East and South East Asia,Sri Lanka
North Africa and Middle East,North Africa and Middle East,SDN,729,Low-middle SDI,LMIC,Sudan,Sudan,Sudan,Sub-Saharan Africa,Sub-Saharan Africa,Sudan
Caribbean,Latin America and Caribbean,SUR,740,Middle SDI,UMIC,Suriname,Suriname,Suriname,Latin America and the Caribbean,Latin America and Caribbean,Suriname
Southern Sub-Saharan Africa,Sub-Saharan Africa,SWZ,748,Low-middle SDI,LMIC,Eswatini,Eswatini,Eswatini,Sub-Saharan Africa,Sub-Saharan Africa,Swaziland
Western Europe,High-income,SWE,752,High SDI,HIC,Sweden,Sweden,Sweden,High-income,High-income Western countries,Sweden
Western Europe,High-income,CHE,756,High SDI,HIC,Switzerland,Switzerland,Switzerland,High-income,High-income Western countries,Switzerland
North Africa and Middle East,North Africa and Middle East,SYR,760,Low-middle SDI,LMIC,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Syria
East Asia,"Southeast Asia, East Asia, and Oceania",TWN,158,High SDI,HIC,NA,"China, Taiwan Province of China",Taiwan (Province of China),High-income,East and South East Asia,Taiwan (Province of China)
Central Asia,"Central Europe, Eastern Europe, and Central Asia",TJK,762,Low-middle SDI,LMIC,Tajikistan,Tajikistan,Tajikistan,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Tajikistan
Eastern Sub-Saharan Africa,Sub-Saharan Africa,TZA,834,Low SDI,LIC,Tanzania,United Republic of Tanzania,United Republic of Tanzania,Sub-Saharan Africa,Sub-Saharan Africa,Tanzania
Southeast Asia,"Southeast Asia, East Asia, and Oceania",THA,764,Middle SDI,UMIC,Thailand,Thailand,Thailand,Eurasia and the Mediterranean,East and South East Asia,Thailand
Caribbean,Latin America and Caribbean,BHS,44,High-middle SDI,HIC,"Bahamas, The",Bahamas,Bahamas,NA,Latin America and Caribbean,The Bahamas
Western Sub-Saharan Africa,Sub-Saharan Africa,GMB,270,Low SDI,LIC,"Gambia, The",Gambia,Gambia,Sub-Saharan Africa,Sub-Saharan Africa,The Gambia
Southeast Asia,"Southeast Asia, East Asia, and Oceania",TLS,626,Low-middle SDI,LMIC,Timor-Leste,Timor-Leste,Timor-Leste,Eurasia and the Mediterranean,East and South East Asia,Timor-Leste
Western Sub-Saharan Africa,Sub-Saharan Africa,TGO,768,Low SDI,LIC,Togo,Togo,Togo,Sub-Saharan Africa,Sub-Saharan Africa,Togo
Oceania,"Southeast Asia, East Asia, and Oceania",TON,776,Low-middle SDI,LMIC,Tonga,Tonga,Tonga,NA,NA,Tonga
Caribbean,Latin America and Caribbean,TTO,780,High-middle SDI,HIC,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,High-income,Latin America and Caribbean,Trinidad and Tobago
North Africa and Middle East,North Africa and Middle East,TUN,788,Middle SDI,LMIC,Tunisia,Tunisia,Tunisia,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Tunisia
North Africa and Middle East,North Africa and Middle East,TUR,792,High-middle SDI,UMIC,Turkey,Turkey,Turkey,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Turkey
Central Asia,"Central Europe, Eastern Europe, and Central Asia",TKM,795,High-middle SDI,UMIC,Turkmenistan,Turkmenistan,Turkmenistan,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Turkmenistan
Eastern Sub-Saharan Africa,Sub-Saharan Africa,UGA,800,Low SDI,LIC,Uganda,Uganda,Uganda,Sub-Saharan Africa,Sub-Saharan Africa,Uganda
Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",UKR,804,High-middle SDI,LMIC,Ukraine,Ukraine,Ukraine,Eurasia and the Mediterranean,Central and Eastern Europe,Ukraine
North Africa and Middle East,North Africa and Middle East,ARE,784,High-middle SDI,HIC,United Arab Emirates,United Arab Emirates,United Arab Emirates,High-income,"Central Asia, Middle East and North Africa",United Arab Emirates
Western Europe,High-income,GBR,826,High SDI,HIC,United Kingdom,United Kingdom,United Kingdom,High-income,High-income Western countries,United Kingdom
High-income North America,High-income,USA,840,High SDI,HIC,United States,United States of America,United States of America,High-income,High-income Western countries,United States
Southern Latin America,High-income,URY,858,Middle SDI,HIC,Uruguay,Uruguay,Uruguay,High-income,Latin America and Caribbean,Uruguay
Central Asia,"Central Europe, Eastern Europe, and Central Asia",UZB,860,Middle SDI,LMIC,Uzbekistan,Uzbekistan,Uzbekistan,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Uzbekistan
Oceania,"Southeast Asia, East Asia, and Oceania",VUT,548,Low-middle SDI,LMIC,Vanuatu,Vanuatu,Vanuatu,NA,Oceania,Vanuatu
Central Latin America,Latin America and Caribbean,VEN,862,Middle SDI,UMIC,"Venezuela, RB",Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Latin America and Caribbean,Venezuela
Southeast Asia,"Southeast Asia, East Asia, and Oceania",VNM,704,Middle SDI,LMIC,Vietnam,Viet Nam,Viet Nam,Eurasia and the Mediterranean,East and South East Asia,Vietnam
Caribbean,Latin America and Caribbean,VIR,850,High SDI,HIC,Virgin Islands (U.S.),United States Virgin Islands,United States Virgin Islands,NA,NA,"Virgin Islands, U.S."
North Africa and Middle East,North Africa and Middle East,YEM,887,Low SDI,LMIC,"Yemen, Rep.",Yemen,Yemen,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Yemen
Eastern Sub-Saharan Africa,Sub-Saharan Africa,ZMB,894,Low-middle SDI,LMIC,Zambia,Zambia,Zambia,Sub-Saharan Africa,Sub-Saharan Africa,Zambia
Southern Sub-Saharan Africa,Sub-Saharan Africa,ZWE,716,Low-middle SDI,LIC,Zimbabwe,Zimbabwe,Zimbabwe,Sub-Saharan Africa,Sub-Saharan Africa,Zimbabwe
