"iso3","Mortality.reduction","Outcome","Risk","NCD4","self_harm","NCD.cause.grouping"
"TCD",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CHL",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CHN",0.0393624169811321,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"COL",0.0529904433962265,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"COM",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"COG",0.0067924528301887,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CRI",0.0217924528301887,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CIV",0.0430188679245284,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"HRV",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CUB",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CYP",0.0481132075471699,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CZE",0.0435486792452831,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"COD",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"DNK",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"DJI",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"DMA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"DOM",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ECU",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"EGY",0.0515094339622642,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SLV",0.0384905660377359,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GNQ",0.0283018867924529,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ERI",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"EST",0.0225283018867925,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ETH",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"FSM",0.0181132075471698,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"FJI",0.0200943396226415,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"FIN",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"FRA",0.0150962264150944,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GAB",0.019245283018868,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GEO",0.0500428301886793,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"DEU",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GHA",0.0628301886792454,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GRC",0.0214528301886793,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GRL",NA,"Ischemic heart disease",NA,NA,NA,"Ischaemic heart disease"
"GRD",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GUM",NA,"Ischemic heart disease",NA,NA,NA,"Ischaemic heart disease"
"GTM",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GIN",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GNB",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GUY",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"HTI",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"HND",0.0328301886792453,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"HUN",0.0270566037735849,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ISL",0.0203773584905661,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"IND",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"IDN",0.0840272292452832,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"IRN",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"IRQ",0.0530745283018869,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"IRL",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ISR",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ITA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"JAM",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"JPN",0.105859631603774,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"JOR",0.0515094339622642,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"KAZ",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"KEN",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"KIR",0.0130188679245283,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"KWT",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"KGZ",0.0537735849056605,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LAO",0.0798113207547171,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LVA",0.0520754716981133,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LBN",0.0577358490566039,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LSO",0.00849056603773586,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LBR",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LBY",0.0520754716981133,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LTU",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LUX",0.0650943396226416,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MKD",0.0816421768867926,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MDG",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MWI",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MYS",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MDV",0.0854949537735851,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MLI",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MLT",0.0228679245283019,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MHL",0.019245283018868,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MRT",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MUS",0.0871461438679247,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MEX",0.019245283018868,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MDA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MNG",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MNE",0.0253584905660378,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MAR",0.0352449056603774,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MOZ",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MMR",0.0792452830188681,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"NAM",0.0226415094339623,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"NPL",0.0845776259433964,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"NLD",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"NZL",0.0845776259433964,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"NIC",0.0328301886792453,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"NER",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"NGA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"PRK",0.0831099014150945,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MNP",NA,"Ischemic heart disease",NA,NA,NA,"Ischaemic heart disease"
"NOR",0.0172754716981133,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"OMN",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"PAK",0.0880634716981134,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"PSE",NA,"Ischemic heart disease",NA,NA,NA,"Ischaemic heart disease"
"PAN",0.0537735849056605,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"PNG",0.0169811320754717,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"PRY",0.0356603773584906,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"PER",0.039622641509434,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"PHL",0.0818256424528303,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"POL",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"PRT",0.022811320754717,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"PRI",NA,"Ischemic heart disease",NA,NA,NA,"Ischaemic heart disease"
"QAT",0.0268301886792453,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ROU",0.0840272292452832,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"RUS",0.0219622641509434,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"RWA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LCA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"VCT",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"WSM",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"STP",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SAU",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SEN",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SRB",0.0818256424528303,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SYC",0.0475471698113208,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SLE",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SGP",0.0256358490566038,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SVK",0.0383292452830189,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SVN",0.0267735849056604,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SLB",0.0124528301886793,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SOM",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ZAF",0.010188679245283,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"KOR",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SSD",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ESP",0.0220754716981132,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LKA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SDN",0.0384905660377359,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SUR",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SWZ",0.0203773584905661,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SWE",0.065122386792453,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CHE",0.0226415094339623,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SYR",0.0413207547169812,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"TWN",NA,"Ischemic heart disease",NA,NA,NA,"Ischaemic heart disease"
"TJK",0.0509433962264152,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"TZA",0.00792452830188681,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"THA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BHS",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GMB",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"TLS",0.0699053207547171,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"TGO",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"TON",0.0249056603773585,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"TTO",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"TUN",0.0155320754716982,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"TUR",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"TKM",0.0249056603773585,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"UGA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"UKR",0.0384905660377359,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ARE",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GBR",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"USA",0.0289245283018868,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"URY",0.016522641509434,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"UZB",0.0163641509433963,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"VUT",0.0169811320754717,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"VEN",0.0486792452830189,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"VNM",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"VIR",NA,"Ischemic heart disease",NA,NA,NA,"Ischaemic heart disease"
"YEM",0.0345283018867925,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ZMB",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ZWE",0.00905660377358493,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"AFG",0.0254716981132076,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"ALB",0.078679245283019,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"DZA",0.0554716981132076,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"ASM",NA,"Ischemic stroke",NA,NA,NA,"Ischaemic stroke"
"AND",0.059433962264151,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"AGO",0.00962264150943398,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"ATG",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"ARG",0.0213396226415095,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"ARM",0.0667924528301888,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"AUS",0.019811320754717,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"AUT",0.0456854150943397,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"AZE",0.0697358490566039,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BHR",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BGD",0.0858618849056605,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BRB",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BLR",0.0219056603773585,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BEL",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BLZ",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BEN",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BMU",NA,"Ischemic stroke",NA,NA,NA,"Ischaemic stroke"
"BTN",0.0908154551886794,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BOL",0.0322641509433963,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BIH",0.0634686792452831,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BWA",0.0277358490566038,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BRA",0.0212830188679246,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BRN",0.118518755660378,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BGR",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BFA",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"BDI",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"KHM",0.0718867924528303,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"CMR",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"CAN",0.0392122641509435,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"CPV",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"CAF",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"TCD",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"CHL",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"CHN",0.0393624169811321,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"COL",0.0529904433962265,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"COM",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"COG",0.0067924528301887,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"CRI",0.0217924528301887,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"CIV",0.0430188679245284,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"HRV",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"CUB",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"CYP",0.0481132075471699,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"CZE",0.0435486792452831,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"COD",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"DNK",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"DJI",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"DMA",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"DOM",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"ECU",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"EGY",0.0515094339622642,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"SLV",0.0384905660377359,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"GNQ",0.0283018867924529,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"ERI",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"EST",0.0225283018867925,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"ETH",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"FSM",0.0181132075471698,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"FJI",0.0200943396226415,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"FIN",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"FRA",0.0150962264150944,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"GAB",0.019245283018868,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"GEO",0.0500428301886793,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"DEU",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"GHA",0.0628301886792454,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"GRC",0.0214528301886793,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"GRL",NA,"Ischemic stroke",NA,NA,NA,"Ischaemic stroke"
"GRD",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"GUM",NA,"Ischemic stroke",NA,NA,NA,"Ischaemic stroke"
"GTM",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"GIN",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"GNB",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"GUY",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"HTI",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"HND",0.0328301886792453,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"HUN",0.0270566037735849,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"ISL",0.0203773584905661,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"IND",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"IDN",0.0840272292452832,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"IRN",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"IRQ",0.0530745283018869,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"IRL",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"ISR",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"ITA",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"JAM",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"JPN",0.105859631603774,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"JOR",0.0515094339622642,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"KAZ",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"KEN",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"KIR",0.0130188679245283,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"KWT",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"KGZ",0.0537735849056605,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"LAO",0.0798113207547171,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"LVA",0.0520754716981133,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"LBN",0.0577358490566039,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"LSO",0.00849056603773586,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"LBR",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"LBY",0.0520754716981133,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"LTU",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"LUX",0.0650943396226416,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MKD",0.0816421768867926,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MDG",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MWI",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MYS",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MDV",0.0854949537735851,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MLI",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MLT",0.0228679245283019,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MHL",0.019245283018868,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MRT",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MUS",0.0871461438679247,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MEX",0.019245283018868,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MDA",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MNG",0,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
"MNE",0.0253584905660378,"Ischemic stroke","Salt","yes","no","Ischaemic stroke"
